feature,block,mean_abs_shap,folds_selected,selection_frequency
expr:SIGLEC8,expression,0.00039039474601546925,3,0.06
expr:ZPLD1,expression,0.0003900750355872636,3,0.06
expr:RHOH,expression,0.0003899731117681685,22,0.44
expr:CD40LG,expression,0.00038969909038507575,33,0.66
expr:ADGRL4,expression,0.00038901984122016335,28,0.56
meth:MIR23A,methylation,0.00038862659527115863,44,0.88
meth:CNTNAP4,methylation,0.00038862616444627446,6,0.12
expr:ZNF652,expression,0.00038824478486696113,13,0.26
meth:TLR9,methylation,0.0003874879330396652,4,0.08
meth:GAL3ST2,methylation,0.00038741501190756657,49,0.98
expr:CKS2,expression,0.00038724264595657587,4,0.08
expr:MT3,expression,0.0003871498241399725,6,0.12
expr:ALOX15B,expression,0.00038588701785114164,37,0.74
meth:LHX5,methylation,0.0003848259511869401,4,0.08
meth:MGC12982,methylation,0.00038474535569548606,25,0.5
meth:CD68,methylation,0.000383720579768785,22,0.44
meth:C14orf139,methylation,0.00038354570977389813,50,1.0
expr:FSCN1,expression,0.00038331803620960086,39,0.78
meth:VWA5B1,methylation,0.0003830967138388327,7,0.14
meth:IFITM1,methylation,0.0003829602792393416,2,0.04
expr:ABCD2,expression,0.00038291640964377183,46,0.92
meth:CTSK,methylation,0.00038278746069408953,24,0.48
meth:MIR346,methylation,0.0003827702486887574,5,0.1
expr:KCNJ11,expression,0.00038166477414150094,37,0.74
expr:ABI3BP,expression,0.00038157094218149723,48,0.96
meth:P2RY6,methylation,0.00037982692528102134,18,0.36
meth:KRT39,methylation,0.00037772639743274166,42,0.84
expr:NAALADL2,expression,0.00037732868804596364,2,0.04
meth:SNORD21,methylation,0.00037685086529047504,37,0.74
meth:GRAMD4,methylation,0.00037423104679744156,14,0.28
meth:C18orf16,methylation,0.0003741591547926267,21,0.42
meth:TRIM34,methylation,0.0003730652586252998,36,0.72
meth:CCDC83,methylation,0.0003725553746335208,10,0.2
expr:GBP1,expression,0.00037170448036783415,23,0.46
expr:KITLG,expression,0.0003708682026412776,34,0.68
meth:SCT,methylation,0.00036995973921595857,13,0.26
meth:TBXA2R,methylation,0.00036979301578619265,11,0.22
expr:CCNG2,expression,0.0003697903247233084,47,0.94
expr:SLC16A1,expression,0.0003693413026140709,19,0.38
meth:PNLDC1,methylation,0.00036835462027550516,29,0.58
expr:MAP3K1,expression,0.0003680083230420044,33,0.66
expr:MOB3B,expression,0.0003677613567560911,10,0.2
meth:NPEPL1,methylation,0.0003676861679802338,30,0.6
meth:BNIP3,methylation,0.00036702933721244335,5,0.1
meth:ACTG2,methylation,0.00036683009723977494,24,0.48
meth:C3orf74,methylation,0.0003652345575392246,50,1.0
meth:PCDHGB8P,methylation,0.00036521171568892896,4,0.08
expr:OSR2,expression,0.00036489220801740887,5,0.1
meth:VENTX,methylation,0.00036479163100011647,1,0.02
expr:KLRC3,expression,0.00036472801002673805,16,0.32
meth:EIF3IP1,methylation,0.00036457387371531996,24,0.48
meth:C18orf45,methylation,0.00036425529267742403,36,0.72
meth:MIR1914,methylation,0.00036373830932591645,28,0.56
expr:CPEB3,expression,0.0003635938744992018,10,0.2
meth:MIR19B1,methylation,0.00036254590460365374,14,0.28
meth:ZNF585B,methylation,0.00036221304647054297,49,0.98
meth:CST8,methylation,0.00036039242695551366,10,0.2
expr:FCRL3,expression,0.00036033873102101296,46,0.92
meth:LRRC26,methylation,0.00036021191044710577,16,0.32
meth:DCST2,methylation,0.00035974628884683955,11,0.22
meth:GORASP2,methylation,0.000359239171181495,45,0.9
meth:LUZP1,methylation,0.0003589977510273457,15,0.3
meth:SLC6A11,methylation,0.00035828721593134105,4,0.08
expr:LRRN1,expression,0.0003571238412405364,16,0.32
meth:RGS12,methylation,0.0003566087024020297,7,0.14
expr:SRRM5,expression,0.00035645218870033405,18,0.36
expr:EXOC6,expression,0.00035635289750644004,40,0.8
expr:RPRML,expression,0.0003562199417501688,7,0.14
expr:HID1,expression,0.00035592381027527153,2,0.04
meth:SLC6A6,methylation,0.00035577725526420587,49,0.98
meth:PRAME,methylation,0.00035424623948006713,47,0.94
expr:UBE2U,expression,0.00035392681491516883,42,0.84
expr:ALDH6A1,expression,0.00035312205242613953,6,0.12
expr:MEOX1,expression,0.00035260657212980414,46,0.92
expr:CCL5,expression,0.00035186282845891333,22,0.44
expr:CYSLTR2,expression,0.00035166471819760963,38,0.76
meth:LOC100271832,methylation,0.0003511006112343499,49,0.98
expr:PHYHD1,expression,0.0003508822327213628,7,0.14
expr:KCNA1,expression,0.0003508028393197391,36,0.72
expr:CNDP1,expression,0.00035055768482076627,15,0.3
expr:KRT20,expression,0.0003494992076108853,18,0.36
expr:HRK,expression,0.0003490990784484893,2,0.04
expr:CCDC173,expression,0.0003489919879939407,15,0.3
meth:TSPAN4,methylation,0.0003481122465538127,7,0.14
meth:C1orf70,methylation,0.00034771807258948684,1,0.02
meth:PCDHGB7,methylation,0.0003475535486359149,4,0.08
expr:LPXN,expression,0.0003465261300637697,24,0.48
expr:OR52N4,expression,0.0003465054517922302,30,0.6
expr:AP001931.2,expression,0.000346292405285769,9,0.18
meth:ELMO1,methylation,0.00034554110607132316,7,0.14
expr:CLDN19,expression,0.00034510370379494916,18,0.36
meth:CCNJ,methylation,0.0003445574418745107,18,0.36
meth:KRT24,methylation,0.00034408855398872955,42,0.84
expr:MARCHF4,expression,0.00034319632686674595,8,0.16
meth:VASN,methylation,0.0003430043491817108,33,0.66
expr:SPINK1,expression,0.00034288128760332864,15,0.3
expr:P2RY14,expression,0.00034233449667226524,50,1.0
meth:TRAM1,methylation,0.00034208077704533935,2,0.04
meth:FAM84A,methylation,0.000341383449267596,10,0.2
meth:CHN2,methylation,0.00034128042170777917,2,0.04
expr:ORC6,expression,0.0003412390554634233,6,0.12
meth:FAM180A,methylation,0.000341015191055661,43,0.86
expr:IL26,expression,0.0003409841525493763,26,0.52
meth:C17orf44,methylation,0.0003409721688259133,43,0.86
expr:CWH43,expression,0.0003402834059670568,15,0.3
expr:MPV17L,expression,0.0003393655933905393,8,0.16
expr:SEMA3G,expression,0.00033919393354153726,32,0.64
expr:ZNF132,expression,0.0003389281816506649,17,0.34
meth:NOX3,methylation,0.0003387252218089998,4,0.08
meth:CDK2AP1,methylation,0.00033850538857223,40,0.8
meth:MT1G,methylation,0.00033824658021330833,3,0.06
expr:PBK,expression,0.0003380514681339264,4,0.08
meth:KIAA0922,methylation,0.0003378913485600303,18,0.36
meth:SCN5A,methylation,0.0003369366459082812,2,0.04
expr:SCRT2,expression,0.00033625002418245586,14,0.28
meth:PNMT,methylation,0.0003357589594088495,4,0.08
expr:TSSK4,expression,0.0003356737600240324,7,0.14
expr:ACOT11,expression,0.0003351605555508286,1,0.02
meth:BBS5,methylation,0.00033360105589963496,2,0.04
meth:MIR27A,methylation,0.0003335329807748127,46,0.92
meth:MIR557,methylation,0.0003330771578475833,4,0.08
meth:AIPL1,methylation,0.00033303604926913975,25,0.5
meth:MGC26647,methylation,0.0003327977950296675,24,0.48
meth:ST6GALNAC4,methylation,0.0003325961297377944,3,0.06
meth:C1orf200,methylation,0.00033245046506635845,4,0.08
expr:APOBEC2,expression,0.0003321850090287626,2,0.04
expr:IVL,expression,0.00033144685713683855,17,0.34
meth:LOC648691,methylation,0.00033115500302397107,38,0.76
meth:RAB4A,methylation,0.00033066382664921027,28,0.56
expr:TMPPE,expression,0.00033062160946428776,6,0.12
